iter	RMSE
0	109512.7233
1	104028.741
2	99418.19055
3	95128.2011
4	91469.28334
5	88541.67643
6	86035.7442
7	83530.88429
8	81541.18012
9	79758.48169
10	78095.77463
11	76780.44194
12	75547.16495
13	74442.50436
14	73527.5503
15	72744.36491
16	72043.26681
17	71317.15546
18	70409.65732
19	69824.50984
20	69303.3707
21	68682.8146
22	68184.70005
23	67817.10367
24	67434.294
25	67025.01756
26	66676.98182
27	66281.83025
28	66004.61066
29	65580.3732
30	65317.34203
31	65046.61762
32	64807.00693
33	64498.93576
34	64057.35229
35	63840.70288
36	63469.10267
37	63263.2454
38	63000.80296
39	62756.31471
40	62540.35596
41	62370.6537
42	62242.22627
43	62013.13823
44	61798.77406
45	61604.97029
46	61396.66646
47	61146.53261
48	61038.55246
49	60834.9406
50	60731.00652
51	60588.15758
52	60439.50846
53	60292.7201
54	60220.58154
55	60107.32801
56	59994.74138
57	59861.34878
58	59721.32998
59	59597.22953
60	59466.31936
61	59365.92495
62	59293.04502
63	59196.70602
64	59085.11842
65	59003.24581
66	58899.69461
67	58814.16051
68	58720.87391
69	58652.40274
70	58593.16528
71	58507.42517
72	58407.61228
73	58303.8214
74	58121.74884
75	58041.92265
76	57975.61303
77	57935.21303
78	57855.07098
79	57769.17156
80	57701.42946
81	57629.62018
82	57519.53412
83	57479.4893
84	57400.03613
85	57341.93777
86	57278.57137
87	57228.0294
88	57143.08299
89	57026.0014
90	56944.15633
91	56805.54024
92	56728.83402
93	56662.02254
94	56522.62373
95	56441.82839
96	56361.24795
97	56313.17237
98	56227.54149
99	56172.02664
100	56109.83968
101	56082.98989
102	56003.87564
103	55942.22029
104	55834.9926
105	55795.53609
106	55743.3876
107	55710.47751
108	55643.75969
109	55579.91998
110	55509.98104
111	55453.08817
112	55415.03219
113	55341.31314
114	55273.21193
115	55157.07966
116	55098.26234
117	55053.71801
118	55015.02365
119	54964.83709
120	54869.61887
121	54842.3315
122	54759.96135
123	54726.66222
124	54663.71477
125	54593.55112
126	54540.66928
127	54488.90324
128	54414.55374
129	54374.44877
130	54331.75556
131	54299.21533
132	54256.73243
133	54212.82133
134	54144.86674
135	54105.23627
136	54074.16491
137	54034.73395
138	53976.84464
139	53867.71819
140	53816.14904
141	53742.49514
142	53696.43819
143	53662.515
144	53625.39416
145	53547.58058
146	53508.25549
147	53468.77095
148	53385.40149
149	53335.26237
150	53295.70697
151	53259.25161
152	53169.2324
153	53085.98266
154	53056.59901
155	53023.85694
156	52977.52007
157	52945.46839
158	52894.84225
159	52848.49146
160	52812.62677
161	52765.15341
162	52732.87875
163	52693.99043
164	52622.27272
165	52591.84809
166	52537.95943
167	52500.66788
168	52453.02348
169	52423.72641
170	52378.26956
171	52310.39579
172	52280.43348
173	52220.28979
174	52175.55763
175	52149.68084
176	52107.79481
177	52058.78329
178	52034.32617
179	52015.88238
180	51991.46109
181	51963.9596
182	51918.11932
183	51892.00629
184	51860.86079
185	51839.59877
186	51815.19476
187	51799.23466
188	51772.22142
189	51740.10353
190	51720.76369
191	51688.86375
192	51674.30628
193	51643.4615
194	51614.78098
195	51573.2826
196	51545.55703
197	51510.04725
198	51444.34333
199	51427.28851
200	51397.79241
201	51363.4403
202	51337.01691
203	51305.62225
204	51269.45735
205	51246.0245
206	51207.31444
207	51166.07284
208	51107.23341
209	51052.77907
210	51031.77346
211	51003.82445
212	50978.3104
213	50960.4891
214	50923.5473
215	50914.27121
216	50894.69644
217	50865.73643
218	50821.7568
219	50777.1555
220	50739.57985
221	50718.13237
222	50704.82888
223	50678.40323
224	50641.79932
225	50621.85949
226	50605.47677
227	50583.39699
228	50539.79927
229	50522.65089
230	50499.44971
231	50484.66511
232	50454.82613
233	50438.40026
234	50415.05438
235	50380.72406
236	50358.46265
237	50341.45966
238	50304.87017
239	50272.43054
240	50207.26204
241	50180.26979
242	50150.37266
243	50125.05504
244	50110.32376
245	50098.71386
246	50087.22063
247	50064.79082
248	50044.58329
249	50027.3828
250	50003.22654
251	49963.12318
252	49943.18632
253	49896.1242
254	49882.34657
255	49866.3395
256	49840.64394
257	49824.97981
258	49806.9856
259	49793.72204
260	49759.09043
261	49708.59
262	49685.96961
263	49647.59221
264	49616.88147
265	49609.88805
266	49578.76972
267	49561.34349
268	49541.41277
269	49530.49212
270	49498.65507
271	49481.18987
272	49471.75884
273	49447.59496
274	49431.66206
275	49387.97986
276	49362.73371
277	49353.57249
278	49323.40921
279	49314.23359
280	49301.94379
281	49278.16825
282	49258.66314
283	49231.78305
284	49211.52324
285	49192.97694
286	49173.40889
287	49149.33651
288	49121.31294
289	49090.38154
290	49078.98721
291	49052.1104
292	49027.79143
293	48996.21005
294	48969.43196
295	48951.67453
296	48929.96961
297	48905.85421
298	48888.14723
299	48869.11684
300	48851.84972
301	48838.64879
302	48797.49108
303	48772.69296
304	48747.43984
305	48731.10799
306	48707.34462
307	48694.22782
308	48675.21741
309	48654.67546
310	48633.73348
311	48610.44218
312	48580.51459
313	48555.13911
314	48539.50082
315	48522.85851
316	48507.11759
317	48496.67045
318	48487.18376
319	48476.37793
320	48466.13266
321	48443.91217
322	48423.80486
323	48411.08368
324	48403.99585
325	48380.52687
326	48357.38957
327	48336.71521
328	48318.26709
329	48307.36225
330	48286.45726
331	48270.79152
332	48235.85556
333	48214.86138
334	48206.34122
335	48185.89487
336	48168.16308
337	48149.14133
338	48137.1222
339	48120.81627
340	48105.18822
341	48071.84585
342	48055.47429
343	48036.57728
344	48017.7743
345	47991.47858
346	47964.60178
347	47956.75484
348	47937.29495
349	47924.34834
350	47896.82353
351	47869.53814
352	47854.23459
353	47839.29599
354	47832.89387
355	47821.42149
356	47803.39491
357	47791.57354
358	47770.76138
359	47754.531
360	47735.25879
361	47715.6788
362	47689.41826
363	47675.84243
364	47662.63482
365	47648.00196
366	47627.77054
367	47618.64812
368	47604.63989
369	47597.3647
370	47584.17095
371	47567.44999
372	47564.30617
373	47548.55332
374	47518.69606
375	47511.82139
376	47498.1851
377	47482.58792
378	47466.86788
379	47434.77727
380	47422.44465
381	47404.77731
382	47394.12658
383	47386.73129
384	47362.1368
385	47344.89318
386	47327.46194
387	47310.05792
388	47293.37561
389	47280.15003
390	47259.8324
391	47241.57732
392	47220.53958
393	47208.96732
394	47186.63155
395	47172.51764
396	47158.8594
397	47140.95049
398	47118.58399
399	47094.95004
400	47064.25387
401	47055.73741
402	47040.70678
403	47021.67749
404	47007.61959
405	46988.99926
406	46976.62454
407	46954.39551
408	46951.56618
409	46941.0182
410	46922.87991
411	46904.05767
412	46889.66448
413	46866.22617
414	46853.54945
415	46835.08799
416	46816.3317
417	46801.47796
418	46770.36359
419	46759.1791
420	46744.47013
421	46735.04683
422	46707.90962
423	46700.00831
424	46686.86747
425	46665.06568
426	46647.84787
427	46635.38978
428	46628.00736
429	46613.09075
430	46601.94695
431	46592.97993
432	46571.25374
433	46556.69754
434	46544.08401
435	46527.20528
436	46517.12143
437	46504.87253
438	46494.77985
439	46481.06008
440	46469.05421
441	46454.39659
442	46437.47085
443	46431.9035
444	46416.31943
445	46395.12264
446	46389.44844
447	46371.4385
448	46352.1119
449	46332.56342
450	46324.83485
451	46304.65866
452	46295.88452
453	46285.88079
454	46268.10003
455	46259.61969
456	46239.29664
457	46232.26874
458	46225.3214
459	46211.60747
460	46196.92987
461	46184.62838
462	46173.2826
463	46145.7323
464	46132.76883
465	46120.9047
466	46107.44472
467	46096.34942
468	46086.48156
469	46078.19539
470	46062.53892
471	46040.96938
472	46026.90514
473	46016.21845
474	46004.87673
475	45994.34525
476	45969.50609
477	45952.17501
478	45917.05083
479	45908.08425
480	45886.66176
481	45869.68806
482	45860.887
483	45855.79589
484	45847.28217
485	45838.30516
486	45833.79825
487	45825.77032
488	45814.61306
489	45802.89446
490	45792.47061
491	45780.45285
492	45767.87034
493	45753.88242
494	45744.1186
495	45729.15084
496	45724.13721
497	45706.32154
498	45696.3704
499	45665.215
500	45653.89937
501	45645.44663
502	45641.32349
503	45622.85653
504	45614.72047
505	45593.08161
506	45582.08619
507	45570.02767
508	45564.93152
509	45556.87356
510	45549.87343
511	45538.44479
512	45526.32651
513	45516.82089
514	45507.22875
515	45499.54025
516	45477.55673
517	45448.7362
518	45425.10813
519	45416.08961
520	45403.19467
521	45383.30367
522	45368.01566
523	45349.33889
524	45343.81999
525	45328.72503
526	45316.83809
527	45302.14981
528	45294.13678
529	45289.38673
530	45277.35958
531	45266.63385
532	45251.15715
533	45238.85787
534	45225.12687
535	45213.3003
536	45195.91605
537	45184.80666
538	45174.90856
539	45166.89928
540	45152.11707
541	45139.50029
542	45127.17584
543	45118.91016
544	45109.93966
545	45095.62681
546	45083.56342
547	45072.44528
548	45061.4397
549	45048.33827
550	45029.8457
551	45020.2205
552	45002.91738
553	44992.72959
554	44984.42045
555	44972.71218
556	44965.6656
557	44957.0679
558	44942.09024
559	44929.81144
560	44921.91673
561	44913.80953
562	44906.44126
563	44896.17633
564	44883.4526
565	44873.3275
566	44861.85638
567	44855.92012
568	44843.50458
569	44833.76209
570	44822.03549
571	44815.09428
572	44804.45941
573	44796.89168
574	44790.65085
575	44778.85289
576	44773.54582
577	44751.89892
578	44740.66799
579	44735.14657
580	44724.40646
581	44710.82295
582	44706.82103
583	44695.15651
584	44683.96942
585	44673.3729
586	44665.90803
587	44652.68843
588	44641.06292
589	44630.25083
590	44613.49573
591	44599.9264
592	44584.38031
593	44575.04471
594	44564.67689
595	44552.66594
596	44540.16458
597	44523.98845
598	44513.46881
599	44502.90722
600	44486.42032
601	44475.61275
602	44465.99117
603	44456.39339
604	44447.72573
605	44435.72717
606	44427.88542
607	44420.08827
608	44404.13962
609	44392.03021
610	44382.43935
611	44373.51472
612	44359.36978
613	44346.06397
614	44339.37941
615	44318.56022
616	44294.45685
617	44280.56803
618	44267.27931
619	44251.78066
620	44239.27259
621	44220.37742
622	44207.79296
623	44197.21393
624	44185.58916
625	44174.82729
626	44166.11847
627	44158.84607
628	44147.7532
629	44142.47902
630	44131.22397
631	44121.96974
632	44113.25279
633	44104.62138
634	44095.87139
635	44088.91655
636	44065.73448
637	44061.61404
638	44050.61687
639	44043.96733
640	44037.00056
641	44027.99221
