iter	Passed	Remaining
0	1	14664
1	2	14295
2	4	13559
3	5	13453
4	6	13475
5	7	13115
6	9	12861
7	10	12724
8	11	12651
9	12	12972
10	14	13026
11	15	13159
12	17	13146
13	18	12995
14	19	12850
15	20	12834
16	21	12665
17	22	12531
18	23	12414
19	24	12330
20	25	12271
21	27	12326
22	28	12324
23	29	12303
24	30	12349
25	32	12368
26	33	12391
27	34	12362
28	35	12317
29	37	12310
30	38	12303
31	39	12278
32	40	12262
33	41	12210
34	42	12148
35	43	12122
36	44	12107
37	46	12104
38	47	12188
39	48	12187
40	50	12156
41	51	12124
42	52	12085
43	53	12068
44	54	12091
45	55	12057
46	56	12021
47	57	11984
48	58	11931
49	59	11912
50	61	12001
51	62	11997
52	64	12025
53	65	12037
54	66	12004
55	67	12039
56	68	12000
57	69	11962
58	70	11933
59	71	11896
60	72	11869
61	74	11887
62	75	11869
63	76	11850
64	77	11857
65	78	11846
66	80	11935
67	81	11947
68	82	11928
69	83	11910
70	85	11898
71	86	11880
72	87	11879
73	88	11896
74	89	11905
75	91	11888
76	92	11907
77	93	11894
78	94	11884
79	95	11889
80	97	11895
81	98	11901
82	99	11923
83	100	11905
84	102	11914
85	103	11898
86	104	11891
87	105	11863
88	106	11846
89	107	11839
90	108	11845
91	110	11855
92	111	11888
93	112	11883
94	113	11877
95	115	11897
96	116	11889
97	117	11887
98	118	11890
99	120	11880
100	121	11862
101	122	11848
102	123	11864
103	124	11867
104	125	11866
105	127	11891
106	128	11886
107	129	11879
108	131	11893
109	132	11877
110	133	11864
111	134	11846
112	135	11856
113	136	11862
114	137	11843
115	138	11831
116	140	11827
117	141	11815
118	142	11843
119	143	11850
120	145	11842
121	146	11826
122	147	11813
123	148	11802
124	149	11807
125	150	11802
126	151	11791
127	152	11783
128	153	11767
129	154	11756
130	155	11750
131	157	11741
132	158	11726
133	159	11723
134	160	11751
135	162	11756
136	163	11750
137	164	11745
138	165	11731
139	166	11721
140	167	11708
141	168	11698
142	169	11684
143	170	11669
144	171	11659
145	172	11657
146	173	11646
147	174	11637
148	176	11642
149	177	11638
150	178	11633
151	179	11641
152	180	11642
153	182	11637
154	183	11645
155	184	11638
156	185	11644
157	186	11647
158	188	11649
159	189	11638
160	190	11633
161	191	11642
162	193	11653
163	194	11652
164	196	11686
165	197	11675
166	198	11665
167	199	11655
168	200	11644
169	201	11637
170	202	11626
171	203	11620
172	204	11612
173	205	11603
174	206	11604
175	208	11613
176	209	11631
177	211	11643
178	212	11645
179	213	11644
180	214	11640
181	216	11652
182	217	11671
183	219	11695
184	220	11705
185	221	11711
186	223	11712
187	224	11728
188	226	11740
189	227	11745
190	228	11751
191	230	11757
192	231	11753
193	232	11752
194	233	11755
195	235	11761
196	236	11770
197	238	11791
198	239	11804
199	241	11813
200	242	11816
201	243	11822
202	244	11819
203	246	11814
204	247	11815
205	248	11814
206	249	11811
207	250	11807
208	252	11805
209	253	11823
210	254	11827
211	256	11825
212	257	11822
213	258	11826
214	259	11821
215	260	11820
216	262	11823
217	263	11820
218	264	11826
219	266	11834
220	267	11840
221	269	11850
222	270	11860
223	272	11881
224	273	11893
225	275	11895
226	276	11894
227	278	11920
228	279	11934
229	281	11943
230	282	11939
231	283	11934
232	285	11966
233	286	11968
234	288	11974
235	289	11971
236	290	11984
237	292	11980
238	293	11978
239	294	11972
240	295	11969
241	296	11966
242	297	11959
243	298	11947
244	299	11937
245	300	11934
246	302	11927
247	303	11937
248	304	11932
249	305	11925
250	306	11916
251	307	11908
252	308	11897
253	309	11888
254	310	11877
255	311	11874
256	312	11865
257	313	11854
258	315	11847
259	316	11838
260	317	11837
261	318	11829
262	319	11832
263	320	11829
264	321	11824
265	323	11821
266	324	11817
267	325	11806
268	326	11801
269	327	11789
270	328	11780
271	329	11774
272	330	11763
273	331	11757
274	332	11751
275	334	11768
276	335	11771
277	336	11763
278	337	11758
279	338	11748
280	339	11740
281	340	11731
282	341	11723
283	342	11715
284	343	11709
285	344	11703
286	345	11697
287	346	11690
288	347	11687
289	348	11679
290	349	11670
291	351	11672
292	352	11671
293	353	11670
294	354	11670
295	355	11665
296	356	11659
297	357	11653
298	358	11644
299	359	11638
300	360	11630
301	361	11623
302	363	11617
303	364	11612
304	365	11605
305	366	11597
306	367	11604
307	368	11600
308	369	11602
309	370	11596
310	372	11589
311	373	11583
312	374	11577
313	375	11571
314	376	11564
315	377	11558
316	378	11551
317	379	11544
318	380	11538
319	381	11532
320	382	11525
321	383	11521
322	384	11515
323	385	11508
324	386	11501
325	387	11496
326	388	11490
327	389	11483
328	390	11475
329	391	11469
330	392	11461
331	393	11453
332	394	11446
333	395	11440
334	396	11432
335	397	11424
336	398	11417
337	399	11410
338	400	11405
339	401	11400
340	402	11396
341	403	11390
342	404	11384
343	405	11377
344	406	11372
345	407	11365
346	408	11360
347	409	11354
348	410	11348
349	411	11342
350	412	11335
351	413	11328
352	414	11321
353	415	11315
354	416	11313
355	417	11309
356	418	11308
357	419	11307
358	421	11310
359	422	11306
360	423	11303
361	424	11300
362	425	11294
363	426	11294
364	427	11292
365	428	11288
366	429	11285
367	431	11281
368	432	11279
369	433	11274
370	434	11267
371	435	11266
372	436	11264
373	437	11259
374	438	11254
375	439	11247
376	440	11240
377	441	11237
378	442	11230
379	443	11223
380	444	11218
381	445	11213
382	446	11214
383	447	11215
384	449	11224
385	450	11227
386	451	11226
387	453	11223
388	454	11221
389	455	11215
390	456	11210
391	457	11205
392	458	11199
393	459	11196
394	460	11193
395	461	11190
396	462	11184
397	463	11186
398	465	11194
399	466	11190
400	467	11190
401	469	11199
402	470	11203
403	471	11205
404	473	11208
405	474	11212
406	476	11219
407	477	11223
408	478	11221
409	480	11227
410	481	11230
411	482	11237
412	484	11250
413	486	11257
414	487	11254
415	488	11249
416	489	11247
417	490	11244
418	491	11238
419	492	11237
420	493	11232
421	494	11228
422	495	11227
423	497	11224
424	498	11226
425	499	11223
426	500	11219
427	501	11217
428	502	11216
429	503	11212
430	504	11208
431	505	11203
432	506	11200
433	507	11196
434	509	11194
435	510	11190
436	511	11193
437	512	11190
438	513	11186
439	514	11185
440	515	11181
441	517	11180
442	518	11179
443	519	11174
444	520	11168
445	521	11165
446	522	11160
447	523	11154
448	524	11153
449	525	11150
450	526	11148
451	527	11147
452	528	11144
453	529	11140
454	530	11136
455	531	11130
456	532	11127
457	533	11123
458	534	11118
459	535	11114
460	537	11112
461	538	11107
462	539	11103
463	540	11099
464	541	11093
465	541	11088
466	542	11081
467	543	11077
468	544	11073
469	545	11071
470	547	11068
471	548	11066
472	549	11062
473	550	11056
474	551	11049
475	552	11044
476	553	11041
477	553	11035
478	555	11034
479	556	11032
480	557	11028
481	558	11023
482	559	11019
483	560	11015
484	561	11012
485	562	11008
486	563	11004
487	564	11001
488	565	10997
489	566	10993
490	567	10988
491	568	10983
492	569	10978
493	570	10972
494	571	10967
495	572	10964
496	573	10958
497	574	10952
498	575	10948
499	576	10946
500	577	10942
501	578	10938
502	579	10932
503	579	10926
504	580	10921
505	581	10915
506	582	10909
507	583	10904
508	584	10898
509	585	10892
510	586	10886
511	587	10881
512	588	10876
513	589	10870
514	589	10864
515	590	10860
516	591	10856
517	592	10852
518	594	10851
519	595	10849
520	596	10844
521	596	10839
522	597	10833
523	598	10828
524	599	10822
525	600	10816
526	601	10812
527	602	10806
528	603	10800
529	604	10795
530	605	10790
531	606	10786
532	607	10781
533	607	10777
534	609	10775
535	610	10771
536	611	10771
537	612	10770
538	613	10767
539	614	10766
540	615	10763
541	616	10758
542	617	10756
543	618	10752
544	619	10747
545	620	10745
546	621	10742
